sample_size,cvec_pca16_kld,cvec_nmf16_kld,cvec_umap16_kld,cvec_tsne16_kld,bert_kld,roberta_kld,distil_kld,glove6B_kld,universal_kld,cvec_pca16_ks,cvec_nmf16_ks,cvec_umap16_ks,cvec_tsne16_ks,bert_ks,roberta_ks,distil_ks,glove6B_ks,universal_ks,cvec_pca16_cos,cvec_nmf16_cos,cvec_umap16_cos,cvec_tsne16_cos,bert_cos,roberta_cos,distil_cos,glove6B_cos,universal_cos,cvec_pca16_recon,cvec_nmf16_recon,cvec_umap16_recon,cvec_tsne16_recon,bert_recon,roberta_recon,distil_recon,glove6B_recon,universal_recon,cvec_pca16_kmeans,cvec_nmf16_kmeans,cvec_umap16_kmeans,cvec_tsne16_kmeans,bert_kmeans,roberta_kmeans,distil_kmeans,glove6B_kmeans,universal_kmeans,cvec_pca16_taddy,cvec_nmf16_taddy,cvec_umap16_taddy,cvec_tsne16_taddy,bert_taddy,roberta_taddy,distil_taddy,glove6B_taddy,universal_taddy,topics_taddy,random_noembed
100,0.5028436018957346,0.7663507109004739,0.8104265402843602,0.818957345971564,0.6511848341232227,0.8208530805687204,0.8,0.818957345971564,0.6630331753554503,0.818957345971564,0.8208530805687204,0.7085308056872038,0.818957345971564,0.7734597156398104,0.8208530805687204,0.7928909952606635,0.7265402843601896,0.3862559241706161,0.7800947867298578,0.8137440758293839,0.776303317535545,0.8165876777251185,0.8014218009478673,0.8208530805687204,0.7890995260663507,0.8127962085308057,0.7838862559241706,0.761611374407583,0.8199052132701422,0.8014218009478673,0.809478672985782,0.8180094786729858,0.8123222748815165,0.818957345971564,0.8199052132701422,0.8146919431279621,0.8020142180094787,0.7476303317535544,0.7622037914691944,0.7662322274881517,0.7812796208530806,0.79739336492891,0.7697867298578198,0.7599526066350711,0.7812796208530806,0.7773696682464455,0.6345971563981043,0.7895734597156399,0.787914691943128,0.8151658767772512,0.7739336492890995,0.7909952606635071,0.7377962085308056,0.7805687203791469,0.8110189573459715,0.7605450236966824
200,0.8208530805687204,0.43317535545023694,0.70521327014218,0.8109004739336493,0.6753554502369669,0.6928909952606636,0.8127962085308057,0.5625592417061611,0.7497630331753554,0.809478672985782,0.7099526066350711,0.7725118483412322,0.6857819905213269,0.7440758293838863,0.8061611374407583,0.6933649289099526,0.7834123222748816,0.4341232227488152,0.7796208530805687,0.8151658767772512,0.8004739336492891,0.7995260663507109,0.7843601895734598,0.79478672985782,0.8132701421800947,0.8118483412322275,0.7701421800947867,0.7478672985781991,0.8099526066350711,0.7592417061611374,0.7582938388625592,0.7601895734597156,0.7876777251184834,0.8203791469194313,0.8203791469194313,0.7431279620853081,0.7638625592417061,0.803436018957346,0.7836492890995261,0.7087677725118482,0.773696682464455,0.7661137440758293,0.7171800947867298,0.7468009478672986,0.7690758293838863,0.5645734597156398,0.5552132701421801,0.5,0.7049763033175356,0.797867298578199,0.7340047393364929,0.7786729857819905,0.7330568720379146,0.7626777251184833,0.7819905213270142,0.7437203791469194
300,0.7303317535545024,0.4876777251184834,0.7393364928909952,0.7943127962085308,0.704265402843602,0.6431279620853081,0.776303317535545,0.6402843601895735,0.7772511848341233,0.7251184834123223,0.6199052132701421,0.7886255924170616,0.7109004739336493,0.7663507109004739,0.6715639810426539,0.8113744075829384,0.795260663507109,0.4161137440758294,0.7838862559241706,0.8037914691943128,0.8085308056872038,0.795260663507109,0.7573459715639811,0.7853080568720379,0.8203791469194313,0.7805687203791469,0.7644549763033175,0.7232227488151659,0.804739336492891,0.8061611374407583,0.8085308056872038,0.8085308056872038,0.7829383886255924,0.8090047393364929,0.7611374407582938,0.7407582938388626,0.7389810426540284,0.7868483412322275,0.7488151658767773,0.6800947867298578,0.7514218009478673,0.7443127962085309,0.7470379146919433,0.7622037914691943,0.750829383886256,0.4887440758293839,0.5968009478672986,0.4861374407582938,0.7214454976303317,0.6976303317535546,0.7457345971563981,0.7696682464454976,0.7824644549763033,0.7488151658767772,0.7502369668246446,0.6925355450236967
400,0.7872037914691943,0.4402843601895735,0.7729857819905214,0.7085308056872038,0.7161137440758294,0.7402843601895734,0.7867298578199052,0.5881516587677725,0.7834123222748816,0.6592417061611374,0.6559241706161137,0.7369668246445498,0.6810426540284361,0.695260663507109,0.7232227488151659,0.704265402843602,0.6995260663507109,0.6232227488151659,0.7507109004739336,0.7838862559241706,0.7781990521327015,0.7284360189573459,0.7933649289099526,0.7772511848341233,0.8137440758293839,0.7549763033175355,0.7156398104265402,0.6900473933649289,0.704739336492891,0.7658767772511849,0.7004739336492891,0.7369668246445498,0.7701421800947867,0.7284360189573459,0.7018957345971564,0.6919431279620853,0.7257109004739336,0.7317535545023697,0.7588862559241706,0.7409952606635071,0.736255924170616,0.7412322274881517,0.737914691943128,0.7125592417061611,0.7450236966824645,0.5220379146919432,0.6311611374407583,0.5240521327014218,0.6848341232227488,0.7637440758293839,0.7002369668246445,0.6760663507109005,0.7789099526066351,0.7232227488151659,0.805568720379147,0.713388625592417
700,0.7559241706161137,0.5763033175355451,0.7203791469194313,0.7298578199052133,0.6966824644549763,0.6748815165876777,0.6810426540284361,0.6284360189573461,0.737914691943128,0.7369668246445498,0.6568720379146921,0.7246445497630332,0.6739336492890995,0.6677725118483412,0.6957345971563981,0.680568720379147,0.7151658767772512,0.6014218009478673,0.7407582938388626,0.7649289099526067,0.7156398104265402,0.7691943127962085,0.7194312796208531,0.7450236966824645,0.6194312796208531,0.7137440758293839,0.7109004739336493,0.7109004739336493,0.6777251184834123,0.7251184834123223,0.7137440758293839,0.7118483412322275,0.7213270142180095,0.7218009478672985,0.6748815165876777,0.6800947867298578,0.6908767772511848,0.7364928909952606,0.7300947867298578,0.6799763033175356,0.7043838862559242,0.7144549763033176,0.7218009478672985,0.7163507109004739,0.7188388625592418,0.6253554502369669,0.5622037914691943,0.6172985781990521,0.72760663507109,0.7098341232227487,0.7178909952606635,0.7103080568720379,0.7137440758293839,0.6690758293838863,0.687914691943128,0.7023696682464455
1000,0.718957345971564,0.5924170616113744,0.6971563981042654,0.6843601895734597,0.709478672985782,0.7450236966824645,0.6109004739336493,0.5639810426540285,0.7165876777251184,0.6933649289099526,0.6691943127962086,0.7241706161137441,0.6597156398104266,0.6706161137440758,0.6744075829383887,0.7056872037914692,0.7037914691943128,0.5734597156398105,0.7113744075829384,0.7255924170616114,0.690521327014218,0.6701421800947868,0.695260663507109,0.7322274881516587,0.6729857819905213,0.6924170616113744,0.695260663507109,0.6786729857819905,0.6563981042654028,0.7156398104265402,0.6867298578199053,0.6497630331753554,0.7232227488151659,0.6853080568720379,0.6781990521327014,0.6933649289099526,0.7087677725118484,0.70521327014218,0.695260663507109,0.6875592417061611,0.6745260663507109,0.7016587677725118,0.6989336492890996,0.712914691943128,0.7021327014218008,0.5598341232227488,0.5604265402843602,0.715995260663507,0.6906398104265402,0.7252369668246446,0.6914691943127962,0.690995260663507,0.7220379146919431,0.6406398104265403,0.7004739336492891,0.70521327014218
1400,0.6909952606635071,0.6085308056872037,0.6630331753554503,0.7028436018957346,0.6791469194312796,0.718957345971564,0.6127962085308057,0.6132701421800948,0.6985781990521327,0.6810426540284361,0.6691943127962086,0.7165876777251184,0.7175355450236967,0.6914691943127962,0.6549763033175355,0.7018957345971564,0.6682464454976303,0.5251184834123223,0.6962085308056872,0.7014218009478673,0.6829383886255924,0.6938388625592417,0.6829383886255924,0.704265402843602,0.6459715639810426,0.6995260663507109,0.7075829383886256,0.704739336492891,0.6838862559241706,0.7218009478672985,0.6943127962085308,0.690521327014218,0.6853080568720379,0.6928909952606636,0.6469194312796208,0.6919431279620853,0.6837677725118483,0.7143364928909952,0.6907582938388624,0.7,0.6877962085308057,0.6963270142180095,0.6970379146919431,0.704265402843602,0.6978672985781991,0.5558056872037915,0.5387440758293839,0.599170616113744,0.6850710900473933,0.7122037914691943,0.6847156398104266,0.6302132701421801,0.724170616113744,0.6390995260663508,0.7541469194312796,0.6887440758293839
1800,0.7018957345971564,0.5696682464454976,0.6720379146919432,0.6933649289099526,0.7004739336492891,0.7123222748815166,0.6672985781990521,0.6535545023696683,0.6976303317535545,0.7056872037914692,0.6488151658767772,0.7014218009478673,0.6862559241706161,0.6924170616113744,0.6734597156398104,0.680568720379147,0.6635071090047393,0.5890995260663507,0.6853080568720379,0.70521327014218,0.7109004739336493,0.6843601895734597,0.6582938388625592,0.6677725118483412,0.6563981042654028,0.709478672985782,0.7109004739336493,0.7,0.6796208530805687,0.7056872037914692,0.6900473933649289,0.6668246445497629,0.6767772511848341,0.6890995260663507,0.6559241706161137,0.6838862559241706,0.6876777251184835,0.6934834123222748,0.675,0.6677725118483413,0.67239336492891,0.6834123222748816,0.6798578199052133,0.7095971563981043,0.703436018957346,0.6396919431279621,0.5994075829383887,0.5972748815165878,0.6813981042654029,0.6944312796208532,0.6808056872037915,0.6255924170616114,0.7163507109004739,0.6190758293838862,0.7257109004739336,0.6809241706161138
2400,0.6639810426540285,0.5744075829383887,0.6876777251184835,0.70521327014218,0.6924170616113744,0.7028436018957346,0.6341232227488152,0.6488151658767772,0.7184834123222749,0.7037914691943128,0.6345971563981042,0.7170616113744076,0.6829383886255924,0.6810426540284361,0.6810426540284361,0.6781990521327014,0.6876777251184835,0.6184834123222749,0.6748815165876777,0.6763033175355451,0.6829383886255924,0.6862559241706161,0.6426540284360189,0.6611374407582938,0.6279620853080569,0.6658767772511849,0.6829383886255924,0.709478672985782,0.6611374407582938,0.6786729857819905,0.6691943127962086,0.6872037914691943,0.6663507109004739,0.6677725118483412,0.6758293838862559,0.6990521327014217,0.6926540284360189,0.679739336492891,0.6834123222748815,0.6736966824644549,0.6883886255924172,0.6766587677725118,0.6900473933649289,0.6996445497630333,0.692654028436019,0.657345971563981,0.6335308056872038,0.6356635071090047,0.6701421800947868,0.6706161137440759,0.6670616113744076,0.6472748815165876,0.6943127962085308,0.6167061611374407,0.7101895734597157,0.6701421800947868
3000,0.6654028436018957,0.6137440758293838,0.6881516587677725,0.6810426540284361,0.6758293838862559,0.6834123222748815,0.6488151658767772,0.6488151658767772,0.6677725118483412,0.7061611374407583,0.6696682464454976,0.7109004739336493,0.6900473933649289,0.6962085308056872,0.6981042654028436,0.6701421800947868,0.6668246445497629,0.6488151658767772,0.6677725118483412,0.6900473933649289,0.6786729857819905,0.6928909952606636,0.6521327014218009,0.6658767772511849,0.6469194312796208,0.6748815165876777,0.6753554502369669,0.6824644549763034,0.6800947867298578,0.6720379146919432,0.6696682464454976,0.6886255924170616,0.6900473933649289,0.6597156398104266,0.6862559241706161,0.6995260663507109,0.6829383886255924,0.667654028436019,0.7036729857819906,0.6713270142180094,0.6786729857819904,0.6849526066350711,0.6854265402843602,0.6779620853080568,0.6886255924170616,0.6385071090047393,0.621563981042654,0.6347156398104266,0.6543838862559241,0.6741706161137442,0.6875592417061611,0.6658767772511849,0.6868483412322275,0.643957345971564,0.6970379146919431,0.6716824644549763
3600,0.6507109004739337,0.6369668246445498,0.6819905213270142,0.6758293838862559,0.6791469194312796,0.6933649289099526,0.6772511848341233,0.6412322274881517,0.6720379146919432,0.6886255924170616,0.6796208530805687,0.7208530805687203,0.6848341232227488,0.6838862559241706,0.695260663507109,0.6786729857819905,0.6720379146919432,0.6483412322274882,0.6616113744075829,0.6862559241706161,0.6758293838862559,0.7056872037914692,0.6516587677725119,0.6701421800947868,0.6616113744075829,0.6767772511848341,0.6606635071090048,0.6644549763033175,0.6772511848341233,0.6744075829383887,0.6658767772511849,0.6857819905213269,0.6900473933649289,0.6739336492890995,0.6800947867298578,0.6791469194312796,0.681872037914692,0.6787914691943127,0.6651658767772513,0.6859004739336492,0.6736966824644549,0.6761848341232228,0.6772511848341232,0.6785545023696682,0.6758293838862559,0.635308056872038,0.6016587677725118,0.6550947867298579,0.6617298578199051,0.6747630331753556,0.6780805687203791,0.6340047393364929,0.6755924170616113,0.6396919431279621,0.6880331753554503,0.678080568720379
4200,0.6582938388625592,0.6407582938388625,0.6758293838862559,0.6834123222748815,0.6786729857819905,0.6971563981042654,0.6668246445497629,0.6492890995260664,0.6677725118483412,0.6786729857819905,0.6748815165876777,0.7090047393364929,0.6781990521327014,0.6919431279620853,0.6890995260663507,0.6739336492890995,0.6843601895734597,0.6421800947867299,0.6587677725118484,0.6725118483412322,0.6687203791469194,0.7113744075829384,0.6502369668246446,0.6734597156398104,0.6663507109004739,0.6744075829383887,0.6592417061611374,0.6663507109004739,0.6786729857819905,0.6691943127962086,0.6663507109004739,0.6834123222748815,0.6838862559241706,0.6744075829383887,0.6919431279620853,0.6829383886255924,0.6704976303317536,0.682701421800948,0.6662322274881516,0.6708530805687204,0.6755924170616114,0.6854265402843602,0.6812796208530806,0.676777251184834,0.6779620853080569,0.6149289099526066,0.5997630331753554,0.6675355450236966,0.6649289099526066,0.6671800947867299,0.6704976303317536,0.637914691943128,0.6701421800947867,0.6633886255924171,0.6851895734597157,0.6729857819905213
